Date,Sales,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Receivables,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,Close,High,Low,Open,Volume,Ticker
2022-12-01,77866.95538461539,33771.42307692308,8096.100769230769,4378.778461538462,4339.627692307692,3.4292307692307693,642.3938461538461,11533.86,15106.345384615386,4095.5776923076924,5844.815384615385,107.79461538461538,134.74,44377.04923076923,196546.2653846154,142192.96,383251.0146153846,4105.108461538462,167.12846153846155,130959.22230769231,248019.55538461538,383251.0146153846,3319.0,5077.469230769231,1151683715.3846154,2.230769230769231,-37691.986153846156,-9209.628461538461,45265.19846153846,-1636.4161538461537,1401.746153846154,159.24,1546.059326171875,1653.085392753163,1481.4342239398088,1632.9088101449734,35462140.0,BAJAJFINSV.NS
2023-01-01,78918.14153846154,34001.762307692305,8265.953076923077,4496.153846153846,4226.490769230769,2.936923076923077,651.2453846153846,11745.46,15532.541538461539,4222.08076923077,5987.931538461538,112.69846153846154,140.87,44844.806923076925,200475.94153846154,143326.93,388788.5484615385,4162.833846153846,173.16384615384615,132263.34923076924,252189.20153846155,388788.5484615385,3353.91,5152.406923076924,1261966651.5384617,1.923076923076923,-38138.874615384615,-10393.523846153845,46702.913846153846,-1829.4846153846152,1367.9346153846154,159.25,1340.8968505859375,1568.1836433322574,1300.5436874982372,1548.2067816337571,58161547.0,BAJAJFINSV.NS
2023-02-01,79969.32769230769,34232.10153846154,8435.805384615385,4613.529230769231,4113.3538461538465,2.4446153846153846,660.0969230769231,11957.06,15958.737692307694,4348.583846153846,6131.047692307692,117.60230769230769,147.0,45312.56461538462,204405.6176923077,144460.9,394326.0823076923,4220.559230769231,179.19923076923078,133567.47615384616,256358.8476923077,394326.0823076923,3388.8199999999997,5227.344615384615,1372249587.6923077,1.615384615384615,-38585.763076923075,-11577.419230769228,48140.62923076923,-2022.5530769230766,1334.123076923077,159.26,1333.355712890625,1433.3398853879671,1245.4075269005834,1346.4405334515536,35830429.0,BAJAJFINSV.NS
2023-03-01,81020.51384615384,34462.440769230765,8605.657692307692,4730.904615384616,4000.216923076923,1.9523076923076923,668.9484615384615,12168.66,16384.933846153846,4475.086923076923,6274.163846153846,122.50615384615385,153.13,45780.32230769231,208335.29384615386,145594.87,399863.61615384615,4278.284615384616,185.23461538461538,134871.6030769231,260528.49384615384,399863.61615384615,3423.73,5302.282307692308,1482532523.846154,1.3076923076923075,-39032.65153846154,-12761.314615384614,49578.344615384616,-2215.6215384615384,1300.3115384615385,159.27,1265.0347900390625,1397.8309318206784,1213.5943702309205,1334.1546839999205,40902790.0,BAJAJFINSV.NS
2023-04-01,84249.43769230769,35781.052307692305,8898.944615384615,4827.934615384615,4025.9476923076923,1.0507692307692307,694.9023076923077,12859.203846153847,17162.19923076923,4692.211538461539,6550.3961538461535,129.87153846153845,159.27153846153846,47318.93769230769,218162.48153846155,149915.38153846154,415556.0723076923,4422.112307692308,193.48615384615385,138653.3353846154,272287.1384615385,415556.0723076923,3652.1184615384614,5916.407692307693,1593021102.5384614,1.0,-41725.28307692308,-13715.554615384615,53453.95615384615,-1986.8815384615386,1295.5269230769231,159.30076923076922,1353.0828857421875,1372.4104761404426,1264.0359953098473,1271.5273188695658,27801142.0,BAJAJFINSV.NS
2023-05-01,86427.17538461539,36869.32461538461,9022.379230769231,4807.58923076923,4164.815384615385,0.6415384615384615,712.0046153846154,13338.147692307692,17513.26846153846,4782.833076923077,6683.512307692307,132.33307692307693,159.28307692307692,48389.79538461538,224059.99307692307,153101.92307692306,425710.9946153846,4508.214615384615,195.7023076923077,141130.94076923077,279876.13692307693,425710.9946153846,3845.596923076923,6455.595384615384,1593226745.0769231,1.0,-43971.02615384616,-13485.89923076923,55891.85230769231,-1565.073076923077,1324.553846153846,159.32153846153847,1449.371337890625,1466.8011013205853,1328.461331124534,1353.082838075931,32471262.0,BAJAJFINSV.NS
2023-06-01,88604.91307692307,37957.596923076926,9145.813846153846,4787.243846153846,4303.683076923076,0.23230769230769233,729.1069230769231,13817.091538461538,17864.337692307694,4873.454615384616,6816.628461538461,134.79461538461538,159.29461538461538,49460.65307692308,229957.50461538462,156288.4646153846,435865.91692307696,4594.316923076924,197.91846153846154,143608.54615384617,287465.1353846154,435865.91692307696,4039.0753846153843,6994.783076923077,1593432387.6153846,1.0,-46216.769230769234,-13256.243846153846,58329.74846153846,-1143.2646153846154,1353.5807692307692,159.34230769230768,1526.2322998046875,1551.5030797183788,1442.3294770405555,1453.8161730142165,23706308.0,BAJAJFINSV.NS
2023-07-01,90782.65076923076,39045.86923076923,9269.248461538462,4766.898461538462,4442.550769230769,-0.17692307692307696,746.2092307692308,14296.035384615385,18215.406923076924,4964.076153846154,6949.744615384615,137.25615384615384,159.30615384615385,50531.51076923077,235855.01615384617,159475.00615384616,446020.83923076926,4680.419230769231,200.1346153846154,146086.15153846153,295054.13384615385,446020.83923076926,4232.553846153846,7533.970769230769,1593638030.1538463,1.0,-48462.512307692305,-13026.58846153846,60767.64461538462,-721.4561538461539,1382.6076923076923,159.36307692307693,1597.2923583984375,1663.8503442728284,1525.6374903589071,1527.0366320906444,39745455.0,BAJAJFINSV.NS
2023-08-01,92960.38846153846,40134.14153846154,9392.683076923076,4746.553076923076,4581.418461538461,-0.586153846153846,763.3115384615385,14774.97923076923,18566.476153846153,5054.697692307693,7082.860769230769,139.71769230769232,159.3176923076923,51602.36846153846,241752.5276923077,162661.54769230768,456175.76153846155,4766.5215384615385,202.35076923076923,148563.75692307693,302643.1323076923,456175.76153846155,4426.032307692308,8073.158461538462,1593843672.6923077,1.0,-50708.25538461539,-12796.933076923076,63205.54076923077,-299.6476923076925,1411.6346153846152,159.38384615384615,1487.9613037109375,1598.9412157843396,1450.085174479213,1597.2923536699286,32359689.0,BAJAJFINSV.NS
2023-09-01,95138.12615384615,41222.413846153846,9516.117692307693,4726.207692307692,4720.286153846154,-0.9953846153846153,780.4138461538462,15253.923076923076,18917.545384615383,5145.319230769231,7215.9769230769225,142.17923076923077,159.32923076923078,52673.22615384615,247650.03923076924,165848.08923076923,466330.68384615384,4852.623846153846,204.5669230769231,151041.36230769232,310232.1307692308,466330.68384615384,4619.510769230769,8612.346153846154,1594049315.2307692,1.0,-52953.99846153846,-12567.277692307693,65643.43692307692,122.16076923076935,1440.6615384615384,159.4046153846154,1539.2789306640625,1589.9969347096403,1486.41225771345,1493.0580895387825,27848173.0,BAJAJFINSV.NS
2023-10-01,97315.86384615384,42310.68615384615,9639.552307692307,4705.862307692308,4859.153846153846,-1.4046153846153846,797.5161538461539,15732.866923076923,19268.614615384617,5235.94076923077,7349.093076923076,144.64076923076922,159.3407692307692,53744.08384615385,253547.55076923076,169034.63076923077,476485.60615384614,4938.726153846154,206.78307692307695,153518.9676923077,317821.12923076923,476485.60615384614,4812.989230769231,9151.533846153845,1594254957.7692308,1.0,-55199.74153846154,-12337.622307692307,68081.33307692308,543.9692307692308,1469.6884615384615,159.42538461538462,1568.5604248046875,1675.6927848557375,1520.1909173065596,1539.2788500814372,32829911.0,BAJAJFINSV.NS
2023-11-01,99493.60153846153,43398.95846153846,9762.986923076924,4685.516923076923,4998.0215384615385,-1.8138461538461539,814.6184615384616,16211.810769230768,19619.683846153846,5326.5623076923075,7482.209230769231,147.1023076923077,159.35230769230768,54814.94153846154,259445.0623076923,172221.1723076923,486640.5284615385,5024.828461538462,208.9992307692308,155996.5730769231,325410.1276923077,486640.5284615385,5006.467692307692,9690.721538461537,1594460600.3076923,1.0,-57445.484615384616,-12107.966923076923,70519.22923076924,965.7776923076922,1498.7153846153847,159.44615384615386,1672.44482421875,1678.8408132872726,1526.9366523782496,1573.907017922487,26895706.0,BAJAJFINSV.NS
2023-12-01,101671.33923076923,44487.230769230766,9886.421538461538,4665.171538461538,5136.88923076923,-2.223076923076923,831.7207692307693,16690.754615384612,19970.753076923076,5417.183846153846,7615.325384615384,149.56384615384616,159.36384615384614,55885.79923076923,265342.57384615386,175407.71384615384,496795.4507692308,5110.930769230769,211.21538461538464,158474.17846153845,332999.12615384615,496795.4507692308,5199.946153846154,10229.90923076923,1594666242.8461537,1.0,-59691.22769230769,-11878.311538461538,72957.12538461538,1387.5861538461536,1527.7423076923076,159.46692307692308,1684.7371826171875,1739.9023312257414,1636.0179186038304,1678.940790614156,24827715.0,BAJAJFINSV.NS
2024-01-01,103849.07692307692,45575.50307692308,10009.856153846154,4644.826153846154,5275.756923076923,-2.632307692307692,848.823076923077,17169.69846153846,20321.822307692306,5507.805384615384,7748.441538461539,152.0253846153846,159.3753846153846,56956.656923076924,271240.0853846154,178594.2553846154,506950.3730769231,5197.033076923077,213.43153846153848,160951.78384615385,340588.1246153846,506950.3730769231,5393.424615384615,10769.096923076922,1594871885.3846154,1.0,-61936.97076923077,-11648.656153846154,75395.02153846154,1809.394615384615,1556.7692307692307,159.48769230769233,1626.2740478515625,1722.8630131270313,1558.017061712981,1684.7371640223191,29763238.0,BAJAJFINSV.NS
2024-02-01,106026.81461538462,46663.77538461539,10133.290769230769,4624.4807692307695,5414.624615384615,-3.0415384615384617,865.9253846153846,17648.642307692306,20672.89153846154,5598.426923076923,7881.557692307692,154.48692307692306,159.38692307692307,58027.514615384614,277137.5969230769,181780.7969230769,517105.2953846154,5283.135384615385,215.64769230769232,163429.38923076924,348177.1230769231,517105.2953846154,5586.903076923077,11308.284615384615,1595077527.9230769,1.0,-64182.71384615384,-11419.00076923077,77832.9176923077,2231.2030769230764,1585.7961538461536,159.50846153846155,1592.795166015625,1662.9508564758612,1550.5217871528237,1630.9710323128638,26126111.0,BAJAJFINSV.NS
2024-03-01,108204.5523076923,47752.04769230769,10256.725384615384,4604.135384615384,5553.492307692308,-3.4507692307692306,883.0276923076923,18127.586153846154,21023.96076923077,5689.048461538461,8014.673846153846,156.94846153846154,159.39846153846153,59098.372307692305,283035.10846153845,184967.33846153846,527260.2176923077,5369.237692307693,217.86384615384617,165906.9946153846,355766.12153846154,527260.2176923077,5780.381538461538,11847.472307692307,1595283170.4615386,1.0,-66428.45692307693,-11189.345384615384,80270.81384615385,2653.0115384615387,1614.8230769230768,159.5292307692308,1642.8134765625,1667.9476430965055,1529.8348313330655,1596.942393555006,27188785.0,BAJAJFINSV.NS
